AELLT,AEDECOD
Abdominal abscess,ABDOMINAL ABSCESS
Stomach heaviness,ABDOMINAL DISCOMFORT
Abdominal bloating,ABDOMINAL DISTENSION
Abdominal pain,ABDOMINAL PAIN
Lower abdominal pain,ABDOMINAL PAIN LOWER
Epigastric pain,ABDOMINAL PAIN UPPER
Upper abdominal tenderness,ABDOMINAL TENDERNESS
Acute myocardial infarction,ACUTE MYOCARDIAL INFARCTION
Emotional instability,AFFECT LABILITY
ALT increased,ALANINE AMINOTRANSFERASE INCREASED
Alopecia,ALOPECIA
Anemia,ANAEMIA
Anemia of malignant disease,ANAEMIA OF MALIGNANT DISEASE
Anal abscess,ANAL ABSCESS
Anaphylactic reaction,ANAPHYLACTIC REACTION
Anxiety,ANXIETY
Aphasia,APHASIA
Oral aphthae,APHTHOUS STOMATITIS
Arthralgia,ARTHRALGIA
Ascites,ASCITES
AST increased,ASPARTATE AMINOTRANSFERASE INCREASED
Weakness,ASTHENIA
Atelectasis,ATELECTASIS
Lumbar pain,BACK PAIN
Bacteraemia,BACTERAEMIA
Bile duct obstruction,BILE DUCT OBSTRUCTION
Bile duct stricture,BILE DUCT STENOSIS
Biliary sepsis,BILIARY SEPSIS
Alkaline phosphatase increased,BLOOD ALKALINE PHOSPHATASE INCREASED
Bilirubin,BLOOD BILIRUBIN
Bilirubin elevated,BLOOD BILIRUBIN INCREASED
Blood glucose fluctuation,BLOOD GLUCOSE FLUCTUATION
Prolactin abnormal NOS,BLOOD PROLACTIN ABNORMAL
Pain in spine,BONE PAIN
Breast inflammation,BREAST INFLAMMATION
Bronchitis,BRONCHITIS
Bronchopneumonia,BRONCHOPNEUMONIA
Bursitis,BURSITIS
Cachexia,CACHEXIA
Cancer pain,CANCER PAIN
Thrush,CANDIDIASIS
Cellulitis,CELLULITIS
Central line infection,CENTRAL LINE INFECTION
CVA,CEREBROVASCULAR ACCIDENT
Chest discomfort,CHEST DISCOMFORT
Chest pain,CHEST PAIN
Cheyne-Stokes respiration,CHEYNE-STOKES RESPIRATION
Chills,CHILLS
Cholangitis,CHOLANGITIS
Cholangitis acute,CHOLANGITIS ACUTE
Gangrenous cholecystitis,CHOLECYSTITIS INFECTIVE
Cholelithiasis,CHOLELITHIASIS
Chronic obstructive pulmonary disease,CHRONIC OBSTRUCTIVE PULMONARY DISEASE
C.difficile colitis,CLOSTRIDIUM DIFFICILE COLITIS
Coagulopathy,COAGULOPATHY
Obstruction colon,COLONIC OBSTRUCTION
Confusion,CONFUSIONAL STATE
Hyposphagma,CONJUNCTIVAL HAEMORRHAGE
